S.Word,Variation,Source,Start,End,Duration,ClipName,ClipStart,ClipEnd,ClipDuration
enfermo,1,Lista-B,00:30.720,00:33.880,3.16,enfermo.mp4,00:30.240,00:34.360,4.12
enseñar,1,Lista-B,00:34.760,00:38.680,3.92,ensenar.mp4,00:34.280,00:39.160,4.88
entender,1,Lista-B,00:39.360,00:42.600,3.24,entender.mp4,00:38.880,00:43.080,4.2
escribir,1,Lista-B,00:43.320,00:47.080,3.76,escribir.mp4,00:42.840,00:47.560,4.72
escuela,1,Lista-B,00:47.960,00:51.440,3.48,escuela.mp4,00:47.480,00:51.920,4.44
esperanza,1,Lista-B,00:52.040,00:55.760,3.72,esperanza.mp4,00:51.560,00:56.240,4.68
esperar,1,Lista-B,00:56.640,01:01.160,4.52,esperar.mp4,00:56.160,01:01.640,5.48
está bien,1,Lista-B,01:02.120,01:05.440,3.32,esta_bien.mp4,01:01.640,01:05.920,4.28
fácil,1,Lista-B,01:06.080,01:09.440,3.36,facil.mp4,01:05.600,01:09.920,4.32
familia,1,Lista-B,01:10.040,01:14.120,4.08,familia.mp4,01:09.560,01:14.600,5.04
fatal,1,Lista-B,01:15.160,01:18.520,3.36,fatal.mp4,01:14.680,01:19.000,4.32
feliz,1,Lista-B,01:18.880,01:22.480,3.6,feliz.mp4,01:18.400,01:22.960,4.56
feo,1,Lista-B,01:23.080,01:26.760,3.68,feo.mp4,01:22.600,01:27.240,4.64
flor,1,Lista-B,01:27.440,01:30.960,3.52,flor.mp4,01:26.960,01:31.440,4.48
frío,1,Lista-B,01:31.840,01:35.800,3.96,frio.mp4,01:31.360,01:36.280,4.92
fruta,1,Lista-B,01:41.440,01:45.480,4.04,fruta.mp4,01:40.960,01:45.960,5
fuego,1,Lista-B,01:36.680,01:41.000,4.32,fuego.mp4,01:36.200,01:41.480,5.28
fútbol,1,Lista-B,01:46.320,01:50.080,3.76,futbol.mp4,01:45.840,01:50.560,4.72
ganar,1,Lista-B,01:50.600,01:53.920,3.32,ganar.mp4,01:50.120,01:54.400,4.28
Grecia,1,Lista-B,01:54.880,01:58.520,3.64,grecia.mp4,01:54.400,01:59.000,4.6
hablar,1,Lista-B,01:59.120,02:02.720,3.6,hablar.mp4,01:58.640,02:03.200,4.56
